Category,Parameter,Value
Acceleration,Normal printing,500 mm/s² (moderate acceleration reduces vibrations)
Acceleration,Outer wall,350 mm/s² (lower acceleration for dimensional accuracy on outer walls)
Acceleration,Inner wall,500 mm/s² (standard acceleration for inner walls)
Acceleration,Bridge,250 mm/s² (low acceleration prevents bridge oscillation)
Acceleration,Sparse infill,800 mm/s² (higher acceleration acceptable for infill speed)
Acceleration,Internal solid infill,800 mm/s² (faster acceleration for internal solid areas)
Acceleration,First layer,350 mm/s² (gentle acceleration for reliable first layer)
Acceleration,Top surface,350 mm/s² (low acceleration for smooth top surfaces)
Acceleration,Travel,800 mm/s² (fast travel acceleration reduces print time)
Jerk (XY),Default,8 mm/s (moderate jerk reduces printer vibrations)
Jerk (XY),Outer wall,5 mm/s (low jerk for dimensional accuracy on visible surfaces)
Jerk (XY),Inner wall,8 mm/s (standard jerk for inner walls)
Jerk (XY),Infill,8 mm/s (standard jerk acceptable for infill)
Jerk (XY),Top surface,5 mm/s (low jerk for smooth top surface finish)
Jerk (XY),First layer,5 mm/s (gentle jerk for reliable first layer adhesion)
Jerk (XY),Travel,8 mm/s (moderate travel jerk balances speed and accuracy)
Advanced Motion,Extrusion rate smoothing,Enabled (smooths extrusion for consistent flow)
Support Settings,Enable support,As needed (only use support when geometrically necessary)
Support Settings,Type,Normal or Tree (Normal for reliability, Tree for complex geometries)
Support Settings,Style,Organic (for tree) or Grid (for normal - pattern determines support strength)
Support Settings,Threshold angle,45° (standard overhang angle requiring support)
Support Settings,Threshold overlap,2 mm (minimum overhang length before adding support)
Support Settings,First layer density,90% (dense support base for stability)
Support Settings,First layer expansion,2 mm (wider support base for better adhesion)
Support Settings,On build plate only,Preferred (reduces support material and post-processing)
Support Settings,Remove small overhangs,Enabled (eliminates unnecessary micro-supports)
Raft,Raft layers,0 (disabled for PLA - not needed with proper bed adhesion)
Raft,Filament for Supports,Same as model (consistent material properties)
Raft,Support/raft base,Same as model (consistent extrusion settings)
Raft,Support/raft interface,Same as model (uniform material handling)
Advanced Support,Top Z distance,0.2 mm (gap allows easy support removal)
Advanced Support,Bottom Z distance,0.2 mm (prevents support fusion to model)
Advanced Support,Support wall loops,1 (single wall saves material while providing structure)
Advanced Support,Base pattern,Grid (strong and reliable support base pattern)
Advanced Support,Base pattern spacing,2.5 mm (balanced support density)
Advanced Support,Pattern angle,0° (standard support orientation)
Advanced Support,Top interface layers,3 (smooth interface for clean model surface)
Advanced Support,Bottom interface layers,3 (consistent interface thickness)
Advanced Support,Interface pattern,Grid (reliable interface pattern)
Advanced Support,Top interface spacing,0.2 mm (dense interface for smooth model bottom)
Advanced Support,Bottom interface spacing,0.2 mm (consistent interface density)
Advanced Support,Normal support expansion,0 mm (no expansion - precise support placement)
Advanced Support,Support/object xy distance,0.7 mm (clearance prevents support adhesion to model)
Advanced Support,Support/object first layer gap,0.2 mm (first layer clearance for easy removal)
Advanced Support,Don't support bridges,Enabled (lets natural bridging capability work)
Skirt,Skirt loops,3 (primes nozzle and verifies bed leveling)
Skirt,Skirt type,Skirt (outline around print for nozzle priming)
Skirt,Skirt minimum extrusion length,0 mm (no minimum - ensures proper nozzle priming)
Skirt,Skirt distance,2 mm (close enough for priming, far enough to avoid interference)
Skirt,Skirt start point,Closest to origin (consistent starting position)
Skirt,Skirt height,1 layer (single layer sufficient for priming)
Skirt,Skirt speed,30 mm/s (moderate speed for reliable priming)
Draft shield,Draft shield,Disabled (not needed for functional prints)
Brim,Brim type,Auto brim (automatically adds brim when needed for adhesion)
Brim,Brim width,5 mm (adequate width for improved bed adhesion)
Brim,Brim-object gap,0 mm (connected brim provides maximum adhesion benefit)
Special mode,Slicing Mode,Regular (standard slicing for functional parts)
Special mode,Print sequence,By layer (standard layer-by-layer printing)
Special mode,Intra-layer order,Bottom up (prints bottom features first)
Special mode,Spiral vase,Disabled (not applicable for functional multi-wall parts)
Special mode,Fuzzy skin,Disabled (smooth surfaces preferred for functional parts)
Temperature Settings,Nozzle temperature,200°C (tune with temperature tower 190-215°C for optimal flow)
Temperature Settings,Bed temperature,"60°C first layer, 55°C rest (PLA optimal temperatures for adhesion)"
Temperature Settings,Chamber temperature,Not applicable (open-frame printer)
Temperature Settings,First layer nozzle temp,200°C (consistent temperature for reliable first layer)
Temperature Settings,First layer bed temp,60°C (higher temperature ensures first layer adhesion)
Cooling,Enable cooling,Enabled (cooling required for PLA dimensional stability)
Cooling,Fan speed,"0% first 2 layers, then 100% (gradual cooling prevents warping)"
Cooling,Slow down if layer time < X,10 seconds (prevents overheating on small layers)
Cooling,Min print speed,10 mm/s (minimum speed maintains extrusion consistency)
Retraction Settings,Retraction length,1.0 mm (direct drive - short retraction distance)
Retraction Settings,Retraction speed,40 mm/s (fast retraction reduces stringing)
Retraction Settings,Deretraction speed,40 mm/s (consistent retraction/deretraction speeds)
Retraction Settings,Z-hop when retracting,0.4 mm (prevents nozzle drag across printed parts)
Retraction Settings,Z-hop type,Auto (automatically determines when Z-hop is needed)
Retraction Settings,Retraction minimum travel,1.5 mm (minimum distance before retracting)
Retraction Settings,Wipe while retracting,Enabled (cleans nozzle during retraction)
Retraction Settings,Wipe distance,2 mm (adequate wiping distance)
Retraction Settings,Retract amount before wipe,100% (full retraction before wiping)
Flow Settings,Flow ratio,0.98 (calibrate with flow test - slightly under-extruded for dimensional accuracy)
Flow Settings,Maximum volumetric speed,8 mm³/s (conservative limit ensures consistent extrusion)
Flow Settings,Pressure advance,0.05 (calibrate with PA test - improves corner accuracy)
